earlier	later	earlier_name	later_name	relation
CL:0000023	CL:0000025	oocyte	egg cell	develops from
CL:0000024	CL:0000654	oogonial cell	primary oocyte	develops from
CL:0000552	CL:0000558	orthochromatic erythroblast	reticulocyte	develops from
CL:0005004	CL:0000574	pigment erythroblast	erythrophore	develops from
CL:0000980	CL:0000786	plasmablast	plasma cell	develops from
CL:0000980	CL:0000970	plasmablast	unswitched memory B cell	develops from
CL:0000550	CL:0000552	polychromatophilic erythroblast	orthochromatic erythroblast	develops from
CL:0002010	CL:0002461	pre-conventional dendritic cell	CD103-positive dendritic cell	develops from
CL:0002010	CL:0000999	pre-conventional dendritic cell	CD4-positive CD11b-positive dendritic cell	develops from
CL:0002010	CL:0000998	pre-conventional dendritic cell	CD8-alpha-negative CD11b-negative dendritic cell	develops from
CL:0002010	CL:0001000	pre-conventional dendritic cell	CD8-alpha-positive CD11b-negative dendritic cell	develops from
CL:0002010	CL:0002462	pre-conventional dendritic cell	adipose dendritic cell	develops from
CL:4033066	CL:0000501	pre-granulosa cell	granulosa cell	develops from
CL:4033066	CL:4033083	pre-granulosa cell	squamous granulosa cell	directly develops from
CL:0000937	CL:0000823	pre-natural killer cell	immature natural killer cell	develops from
CL:4052010	CL:4052013	pre-theca cell	externa theca cell	develops from
CL:4052010	CL:4052012	pre-theca cell	interna theca cell	develops from
CL:4052010	CL:0000503	pre-theca cell	theca cell	develops into
CL:0002334	CL:0000448	preadipocyte	white adipocyte	develops from
CL:0007000	CL:0000059	preameloblast	ameloblast	develops from
CL:0007002	CL:0000061	precementoblast	cementoblast	develops from
CL:0007009	CL:0000058	prechondroblast	chondroblast	develops from
CL:0007004	CL:0000333	premigratory neural crest cell	migratory neural crest cell	develops from
CL:0007003	CL:0000060	preodontoblast	odontoblast	develops from
CL:0007010	CL:0000062	preosteoblast	osteoblast	develops from
CL:4033065	CL:0000980	preplasmablast	plasmablast	develops into
CL:0002228	CL:0002225	primary lens fiber	secondary lens fiber	develops from
CL:0000654	CL:0000655	primary oocyte	secondary oocyte	develops from
CL:0000656	CL:0000657	primary spermatocyte	secondary spermatocyte	develops from
CL:0002361	CL:0002355	primitive erythroid progenitor	primitive red blood cell	develops from
CL:0002355	CL:0002356	primitive red blood cell	primitive reticulocyte	develops from
CL:0002355	CL:0002358	primitive red blood cell	pyrenocyte	develops from
CL:0000670	CL:0000024	primordial germ cell	oogonial cell	develops from
CL:0000826	CL:0000945	pro-B cell	lymphocyte of B lineage	develops from
CL:0000825	CL:0000623	pro-NK cell	natural killer cell	develops from
CL:0000827	CL:0000084	pro-T cell	T cell	develops from
CL:0000395	CL:0000392	procrystal cell	crystal cell	develops from
CL:0000547	CL:0000765	proerythroblast	erythroblast	develops from
CL:0002351	CL:0000171	progenitor cell of endocrine pancreas	pancreatic A cell	develops from
CL:0002351	CL:0000173	progenitor cell of endocrine pancreas	pancreatic D cell	develops from
CL:0002351	CL:0000169	progenitor cell of endocrine pancreas	type B pancreatic cell	develops from
CL:0009116	CL:0002326	progenitor cell of mammary luminal epithelium	luminal epithelial cell of mammary gland	develops from
CL:0000385	CL:0000387	prohemocyte (sensu Nematoda and Protostomia)	hemocyte (sensu Arthropoda)	develops from
CL:0000559	CL:0000576	promonocyte	monocyte	develops from
CL:0000836	CL:0002193	promyelocyte	myelocyte	develops from
CL:0008012	CL:0008016	quiescent skeletal muscle satellite cell	activated skeletal muscle satellite cell	develops from
CL:0000681	CL:0000065	radial glial cell	ependymal cell	directly develops from
CL:0002633	CL:4033048	respiratory basal cell	respiratory tract suprabasal cell	develops from
CL:0002427	CL:0002428	resting double-positive thymocyte	double-positive blast	develops from
CL:0000558	CL:0000232	reticulocyte	erythrocyte	develops from
CL:0002672	CL:0000573	retinal progenitor cell	retinal cone cell	develops from
CL:0002672	CL:0000604	retinal progenitor cell	retinal rod cell	develops from
CL:0000657	CL:0000018	secondary spermatocyte	spermatid	develops from
CL:0000975	CL:0000974	short lived plasma cell	long lived plasma cell	develops from
CL:0002033	CL:0002036	short term hematopoietic stem cell	Slamf1-positive multipotent progenitor cell	develops from
CL:0000515	CL:0008002	skeletal muscle myoblast	skeletal muscle fiber	develops from
CL:0008020	CL:0008017	skeletal muscle satellite myogenic cell	adult skeletal muscle myoblast	develops into
CL:0000857	CL:0000189	slow muscle myoblast	slow muscle cell	develops from
CL:0000954	CL:0000816	small pre-B-II cell	immature B cell	develops from
CL:0000192	CL:0000892	smooth muscle cell	smooth muscle cell derived foam cell	develops from
CL:0000514	CL:0000192	smooth muscle myoblast	smooth muscle cell	develops from
CL:0008018	CL:0008003	somatic muscle myoblast	somatic muscle myotube	develops into
CL:0000018	CL:0000019	spermatid	sperm	develops from
CL:0000020	CL:0000017	spermatogonium	spermatocyte	develops from
CL:4033083	CL:4033084	squamous granulosa cell	cuboidal granulosa cell	directly develops from
CL:0000034	CL:0011026	stem cell	progenitor cell	develops from
CL:0000034	CL:0009010	stem cell	transit amplifying cell	develops from
CL:0000357	CL:0000079	stratified epithelial stem cell	stratified epithelial cell	develops from
CL:0002255	CL:2000002	stromal cell of endometrium	decidual cell	develops from
CL:0000114	CL:0000464	surface ectodermal cell	epidermoblast	develops from
CL:0000114	CL:0000237	surface ectodermal cell	keratinizing barrier epithelial cell	develops from
CL:0000114	CL:0000032	surface ectodermal cell	neuroplacodal cell	develops from
CL:0000503	CL:4052027	theca cell	atretic theca cell	develops from
CL:0000503	CL:0000590	theca cell	small luteal cell	develops from
CL:0000828	CL:0000762	thromboblast	nucleated thrombocyte	develops from
CL:0000377	CL:0000307	tracheoblast	tracheal epithelial cell	develops from
CL:4047017	CL:0019031	transit amplifying cell of gut	intestine goblet cell	develops from
CL:4047017	CL:0000510	transit amplifying cell of gut	paneth cell	develops from
CL:0000818	CL:0000785	transitional stage B cell	mature B cell	develops from
CL:1000274	CL:0000351	trophectodermal cell	trophoblast cell	develops from
CL:0000970	CL:0000972	unswitched memory B cell	class switched memory B cell	develops from
CL:0005022	CL:0002138	vascular lymphangioblast	endothelial cell of lymphatic vessel	develops from
CL:0005002	CL:0000430	xanthoblast	xanthophore cell	develops from
CL:0002354	CL:0002418	yolk sac hematopoietic stem cell	hemangioblast	develops from
