earlier	later	earlier_name	later_name	relation
CL:0000905	CL:0001087	effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	develops from
CL:0000913	CL:0001062	effector memory CD8-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	develops from
CL:0000861	CL:0002150	elicited macrophage	epithelioid macrophage	develops from
CL:0000223	CL:0002076	endodermal cell	endo-epithelial cell	develops from
CL:0000223	CL:0000131	endodermal cell	gut endothelial cell	develops from
CL:0002422	CL:0000595	enucleated reticulocyte	enucleate erythrocyte	develops from
CL:0000611	CL:0000832	eosinophil progenitor cell	eosinophilic myeloblast	develops from
CL:0000773	CL:0000774	eosinophilic metamyelocyte	band form eosinophil	develops from
CL:0000832	CL:0000833	eosinophilic myeloblast	eosinophilic promyelocyte	develops from
CL:0000612	CL:0000773	eosinophilic myelocyte	eosinophilic metamyelocyte	develops from
CL:0000833	CL:0000772	eosinophilic promyelocyte	immature eosinophil	develops from
CL:0000464	CL:0000463	epidermoblast	epidermal cell (sensu Arthropoda)	develops from
CL:0000038	CL:0000547	erythroid progenitor cell	proerythroblast	develops from
CL:0008036	CL:4033063	extravillous trophoblast	endovascular extravillous trophoblast cell	develops from
CL:0008036	CL:4033062	extravillous trophoblast	interstitial extravillous trophoblast cell	develops from
CL:0000858	CL:0000190	fast muscle myoblast	fast muscle cell	develops from
CL:0002353	CL:0002357	fetal liver hematopoietic progenitor cell	fetal derived definitive erythrocyte	develops from
CL:4040003	CL:0002063	fetal pre-type II pulmonary alveolar epithelial cell	pulmonary alveolar type 2 cell	develops from
CL:0020021	CL:4072104	fibrochondrocyte progenitor cell	fibrochondrocyte	develops from
CL:0000441	CL:0000477	follicle stem cell (sensu Arthropoda)	follicle cell of egg chamber	develops from
CL:0000843	CL:0000844	follicular B cell	germinal center B cell	develops from
CL:0002045	CL:0002047	fraction A pre-pro B cell	fraction B precursor B cell	develops from
CL:0002047	CL:0002049	fraction B precursor B cell	fraction C precursor B cell	develops from
CL:0002049	CL:0002050	fraction C precursor B cell	fraction C' precursor B cell	develops from
CL:0002050	CL:0002052	fraction C' precursor B cell	fraction D precursor B cell	develops from
CL:0002052	CL:0002054	fraction D precursor B cell	fraction E immature B cell	develops from
CL:0002054	CL:0002056	fraction E immature B cell	fraction F mature B cell	develops from
CL:0000339	CL:0000126	glioblast (sensu Vertebrata)	macroglial cell	develops from
CL:0000339	CL:0002453	glioblast (sensu Vertebrata)	oligodendrocyte precursor cell	develops from
CL:0000339	CL:0000516	glioblast (sensu Vertebrata)	perineuronal satellite cell	develops from
CL:0000557	CL:0002028	granulocyte monocyte progenitor cell	basophil mast progenitor cell	develops from
CL:0000557	CL:0000611	granulocyte monocyte progenitor cell	eosinophil progenitor cell	develops from
CL:0000557	CL:0002009	granulocyte monocyte progenitor cell	macrophage dendritic cell progenitor	develops from
CL:0000557	CL:0000835	granulocyte monocyte progenitor cell	myeloblast	develops from
CL:0000557	CL:0000834	granulocyte monocyte progenitor cell	neutrophil progenitor cell	develops from
CL:0000501	CL:4033090	granulosa cell	atretic granulosa cell	develops from
CL:0000501	CL:0000592	granulosa cell	large luteal cell	develops from
CL:0002418	CL:0002361	hemangioblast	primitive erythroid progenitor	develops from
CL:0000837	CL:0002032	hematopoietic multipotent progenitor cell	hematopoietic oligopotent progenitor cell	develops from
CL:0002032	CL:0002031	hematopoietic oligopotent progenitor cell	hematopoietic lineage restricted progenitor cell	develops from
CL:0000037	CL:0000837	hematopoietic stem cell	hematopoietic multipotent progenitor cell	develops from
CL:0000037	CL:0000738	hematopoietic stem cell	leukocyte	develops from
CL:0005026	CL:1000488	hepatoblast	cholangiocyte	develops from
CL:0005026	CL:0000182	hepatoblast	hepatocyte	develops from
CL:0000743	CL:0020022	hypertrophic chondrocyte	prehypertrophic chondrocyte	directly develops from
CL:0000816	CL:0000818	immature B cell	transitional stage B cell	develops from
CL:0000992	CL:0000993	immature CD11c-low plasmacytoid dendritic cell	mature CD11c-low plasmacytoid dendritic cell	develops from
CL:0000994	CL:0000996	immature CD11c-negative plasmacytoid dendritic cell	mature CD11c-negative plasmacytoid dendritic cell	develops from
CL:0002527	CL:0002528	immature CD14-positive dermal dendritic cell	mature CD14-positive dermal dendritic cell	develops from
CL:0002533	CL:0002534	immature CD16-positive myeloid dendritic cell	mature CD16-positive myeloid dendritic cell	develops from
CL:0001016	CL:0001017	immature CD1a-positive Langerhans cell	mature CD1a-positive Langerhans cell	develops from
CL:0002530	CL:0002531	immature CD1a-positive dermal dendritic cell	mature CD1a-positive dermal dendritic cell	develops from
CL:0001018	CL:0001020	immature CD8-alpha-low Langerhans cell	mature CD8-alpha-low Langerhans cell	develops from
CL:0001001	CL:0001002	immature CD8-alpha-negative CD11b-negative dendritic cell	mature CD8-alpha-negative CD11b-negative dendritic cell	develops from
CL:0000997	CL:0001003	immature CD8-alpha-negative CD11b-positive dendritic cell	mature CD8-alpha-negative CD11b-positive dendritic cell	develops from
CL:0001004	CL:0001005	immature CD8-alpha-positive CD11b-negative dendritic cell	mature CD8-alpha-positive CD11b-negative dendritic cell	develops from
CL:0000914	CL:0000814	immature NK T cell	mature NK T cell	develops from
CL:0002039	CL:0002040	immature NK T cell stage I, mouse	immature NK T cell stage II, mouse	develops from
CL:0002040	CL:0002041	immature NK T cell stage II, mouse	immature NK T cell stage III, mouse	develops from
CL:0002041	CL:0002042	immature NK T cell stage III, mouse	immature NK T cell stage IV, mouse	develops from
CL:0002377	CL:0000218	immature Schwann cell	myelinating Schwann cell	develops from
CL:0002377	CL:0002376	immature Schwann cell	non-myelinating Schwann cell	develops from
CL:0002408	CL:0002409	immature Vgamma2-negative thymocyte	mature Vgamma2-negative thymocyte	develops from
CL:0002378	CL:0002403	immature Vgamma2-positive fetal thymocyte	mature Vgamma2-positive fetal thymocyte	develops from
CL:0002406	CL:0002407	immature Vgamma2-positive thymocyte	mature Vgamma2-positive thymocyte	develops from
CL:0000790	CL:0000791	immature alpha-beta T cell	mature alpha-beta T cell	develops from
CL:0000840	CL:0000841	immature conventional dendritic cell	mature conventional dendritic cell	develops from
CL:0002218	CL:0002401	immature dendritic epithelial T cell precursor	mature dendritic epithelial T cell precursor	develops from
CL:0001009	CL:0001010	immature dermal dendritic cell	mature dermal dendritic cell	develops from
CL:0000799	CL:0000800	immature gamma-delta T cell	mature gamma-delta T cell	develops from
CL:0001011	CL:0001013	immature interstitial dendritic cell	mature interstitial dendritic cell	develops from
CL:0000823	CL:0000824	immature natural killer cell	mature natural killer cell	develops from
CL:0000805	CL:0000809	immature single positive thymocyte	double-positive, alpha-beta thymocyte	develops from
CL:0002209	CL:0002145	intermediate epitheliocyte	multiciliated columnar cell of tracheobronchial tree	develops from
CL:0002393	CL:0000875	intermediate monocyte	non-classical monocyte	develops from
CL:0002250	CL:4052006	intestinal crypt stem cell	intestinal enteroendocrine progenitor	develops from
CL:0002250	CL:0019032	intestinal crypt stem cell	intestinal tuft cell	develops from
CL:0002250	CL:4047017	intestinal crypt stem cell	transit amplifying cell of gut	directly develops from
CL:0009028	CL:0009027	intestinal crypt stem cell of appendix	transit amplifying cell of appendix	develops from
CL:4052006	CL:1001516	intestinal enteroendocrine progenitor	intestinal enteroendocrine cell	directly develops from
CL:0005001	CL:0000431	iridoblast	iridophore	develops from
CL:0000312	CL:0002153	keratinocyte	corneocyte	develops from
CL:0002048	CL:0002051	late pro-B cell	CD38-high pre-BCR positive cell	develops from
CL:0005003	CL:0000571	leucoblast	leucophore	develops from
CL:4033093	CL:0000575	limbal epithelial stem cell of cornea	corneal epithelial cell	develops into
CL:0002034	CL:0002033	long term hematopoietic stem cell	short term hematopoietic stem cell	develops from
CL:4033057	CL:0002325	luminal adaptive secretory precursor cell of mammary gland	lactocyte	develops from
CL:0000235	CL:0000517	macrophage	macrophage derived foam cell	develops from
CL:0000235	CL:0000647	macrophage	multinucleated giant cell	develops from
CL:0002009	CL:0001029	macrophage dendritic cell progenitor	common dendritic progenitor	develops from
CL:0002009	CL:0000040	macrophage dendritic cell progenitor	monoblast	develops from
CL:0000831	CL:0000097	mast cell progenitor	mast cell	develops from
CL:0000785	CL:0000980	mature B cell	plasmablast	develops from
CL:0002436	CL:0000895	mature CD4 single-positive thymocyte	naive thymus-derived CD4-positive, alpha-beta T cell	develops from
CL:0002437	CL:0000900	mature CD8 single-positive thymocyte	naive thymus-derived CD8-positive, alpha-beta T cell	develops from
CL:0002401	CL:0000916	mature dendritic epithelial T cell precursor	dendritic epidermal T cell	develops from
CL:0000556	CL:0000233	megakaryocyte	platelet	develops from
CL:0000553	CL:0000556	megakaryocyte progenitor cell	megakaryocyte	develops from
CL:0000050	CL:0000038	megakaryocyte-erythroid progenitor cell	erythroid progenitor cell	develops from
CL:0000050	CL:0000553	megakaryocyte-erythroid progenitor cell	megakaryocyte progenitor cell	develops from
CL:0000050	CL:0000828	megakaryocyte-erythroid progenitor cell	thromboblast	develops from
CL:0000541	CL:0000148	melanoblast	melanocyte	develops from
CL:0000134	CL:0000136	mesenchymal stem cell	adipocyte	develops from
CL:0000134	CL:0000566	mesenchymal stem cell	angioblastic mesenchymal cell	develops from
CL:0000134	CL:0000650	mesenchymal stem cell	mesangial cell	develops from
